model,building_id,primary_use,square_feet,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
gpt-oss:20b,1135,Education,150393,1,24,24,5.161702,native:/api/generate,623
gpt-oss:20b,1135,Education,150393,7,168,145,44.832771,native:/api/generate,3044
gpt-oss:20b,1135,Education,150393,30,720,303,176.191815,native:/api/generate,7310
gpt-oss:20b,113,Education,100481,1,24,24,22.722756,native:/api/generate,575
gpt-oss:20b,113,Education,100481,7,168,168,117.265542,native:/api/generate,4031
gpt-oss:20b,113,Education,100481,30,720,720,356.390262,native:/api/generate,17279
gpt-oss:20b,272,Education,4583,1,24,24,202.126292,native:/api/generate,521
gpt-oss:20b,272,Education,4583,7,168,168,191.549461,native:/api/generate,3818
gpt-oss:20b,272,Education,4583,30,720,720,341.322473,native:/api/generate,15838
gpt-oss:20b,1073,Office,194111,1,24,24,41.689611,native:/api/generate,551
gpt-oss:20b,1073,Office,194111,7,168,168,289.415064,native:/api/generate,3482
gpt-oss:20b,1073,Office,194111,30,720,720,705.818245,openai:/v1/chat/completions,15119
gpt-oss:20b,1069,Office,20864,1,24,24,22.538805,native:/api/generate,573
gpt-oss:20b,1069,Office,20864,7,168,168,184.217465,native:/api/generate,3695
gpt-oss:20b,1069,Office,20864,30,720,720,353.733095,native:/api/generate,15113
gpt-oss:20b,1086,Office,143973,1,24,24,30.229282,native:/api/generate,551
gpt-oss:20b,1086,Office,143973,7,168,168,136.221865,native:/api/generate,3527
gpt-oss:20b,1086,Office,143973,30,720,719,306.096495,native:/api/generate,15119
gpt-oss:20b,155,Office,51688,1,24,24,73.135328,native:/api/generate,527
gpt-oss:20b,155,Office,51688,7,168,168,134.613739,native:/api/generate,3897
gpt-oss:20b,155,Office,51688,30,720,720,308.592218,native:/api/generate,14399
gpt-oss:20b,1206,Office,99946,1,24,24,42.166971,native:/api/generate,551
gpt-oss:20b,1206,Office,99946,7,168,168,106.334034,native:/api/generate,3863
gpt-oss:20b,1206,Office,99946,30,720,720,1432.892509,openai:/v1/chat/completions,16559
gpt-oss:20b,107,Education,97532,1,24,24,42.655294,native:/api/generate,551
gpt-oss:20b,107,Education,97532,7,168,168,118.217504,native:/api/generate,4031
gpt-oss:20b,107,Education,97532,30,720,720,1021.284473,native:/api/generate,15119
gpt-oss:20b,140,Office,50020,1,24,24,141.327396,native:/api/generate,551
gpt-oss:20b,140,Office,50020,7,168,168,126.439139,native:/api/generate,3863
gpt-oss:20b,140,Office,50020,30,720,720,314.265326,native:/api/generate,14400
gpt-oss:20b,1223,Office,52141,1,24,24,24.639577,native:/api/generate,551
gpt-oss:20b,1223,Office,52141,7,168,168,109.329085,native:/api/generate,3863
gpt-oss:20b,1143,Office,96612,1,24,24,20.928765,native:/api/generate,575
gpt-oss:20b,1143,Office,96612,7,168,169,88.644681,native:/api/generate,4055
gpt-oss:20b,1143,Office,96612,30,720,720,291.296672,native:/api/generate,14399
gpt-oss:20b,11,Education,49073,1,24,24,25.878156,native:/api/generate,623
gpt-oss:20b,11,Education,49073,7,168,168,172.649098,native:/api/generate,3527
gpt-oss:20b,11,Education,49073,30,720,720,2130.976811,openai:/v1/chat/completions,15119
gpt-oss:20b,105,Education,50623,1,24,24,42.932807,native:/api/generate,551
gpt-oss:20b,105,Education,50623,7,168,168,148.934174,native:/api/generate,3743
gpt-oss:20b,105,Education,50623,30,720,720,649.552796,openai:/v1/chat/completions,14399
gpt-oss:20b,1246,Office,50327,1,24,24,21.490465,native:/api/generate,551
gpt-oss:20b,1246,Office,50327,7,168,168,125.19252,native:/api/generate,4199
gpt-oss:20b,1246,Office,50327,30,720,720,1431.086036,openai:/v1/chat/completions,15839
