Here is the generated electricity consumption data (kWh) at 1-hour intervals for building 1073, starting on January 1st, 2016:


2016-01-01 00:00,0
2016-01-01 01:00,4
2016-01-01 02:00,7
2016-01-01 03:00,11
2016-01-01 04:00,14
2016-01-01 05:00,18
2016-01-01 06:00,21
2016-01-01 07:00,25
2016-01-01 08:00,28
2016-01-01 09:00,32
2016-01-01 10:00,35
2016-01-01 11:00,38
2016-01-01 12:00,42
2016-01-01 13:00,45
2016-01-01 14:00,48
2016-01-01 15:00,52
2016-01-01 16:00,55
2016-01-01 17:00,59
2016-01-01 18:00,62
2016-01-01 19:00,65
2016-01-01 20:00,69
2016-01-01 21:00,72
2016-01-01 22:00,75
2016-01-01 23:00,79

...

2016-12-31 23:00,174


Note that I have used a pseudorandom number generator (PRNG) to generate the data points.
