model,building_id,primary_use,square_feet,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
llama3.2,1135,Education,150393,1,24,2,5.709221,native:/api/generate,742
llama3.2,1135,Education,150393,2,48,0,6.168628,native:/api/generate,964
llama3.2,1135,Education,150393,3,72,0,10.172961,native:/api/generate,1665
llama3.2,1135,Education,150393,4,96,2,10.220583,native:/api/generate,1922
llama3.2,1135,Education,150393,5,120,2,9.678497,native:/api/generate,1588
llama3.2,1135,Education,150393,6,144,2,8.497035,native:/api/generate,1524
llama3.2,1135,Education,150393,7,168,3,11.283384,native:/api/generate,1893
llama3.2,1135,Education,150393,8,192,3,10.030391,native:/api/generate,1655
llama3.2,1135,Education,150393,9,216,3,10.761892,native:/api/generate,1780
llama3.2,1135,Education,150393,10,240,1,6.562183,native:/api/generate,1090
llama3.2,1135,Education,150393,11,264,2,8.277624,native:/api/generate,1530
llama3.2,1135,Education,150393,12,288,2,8.145237,native:/api/generate,1423
llama3.2,1135,Education,150393,13,312,2,7.056855,native:/api/generate,1194
llama3.2,1135,Education,150393,14,336,2,8.1428,native:/api/generate,1330
llama3.2,1135,Education,150393,15,360,2,10.532102,native:/api/generate,2157
llama3.2,1135,Education,150393,16,384,2,8.96217,native:/api/generate,1616
llama3.2,1135,Education,150393,17,408,1,9.030337,native:/api/generate,1407
llama3.2,1135,Education,150393,18,432,2,7.301351,native:/api/generate,1304
llama3.2,1135,Education,150393,19,456,0,200.107046,native:/api/generate,13988
llama3.2,1135,Education,150393,20,480,1,10.862423,native:/api/generate,1796
llama3.2,1135,Education,150393,21,504,2,8.478582,native:/api/generate,1550
llama3.2,1135,Education,150393,22,528,1,7.908946,native:/api/generate,1221
llama3.2,1135,Education,150393,23,552,3,6.369171,native:/api/generate,986
llama3.2,1135,Education,150393,24,576,3,8.522181,native:/api/generate,1388
llama3.2,1135,Education,150393,25,600,1,10.993304,native:/api/generate,1877
llama3.2,1135,Education,150393,26,624,4,12.479722,native:/api/generate,2261
llama3.2,1135,Education,150393,27,648,3,11.426886,native:/api/generate,1969
llama3.2,1135,Education,150393,28,672,2,5.7576,native:/api/generate,1007
llama3.2,1135,Education,150393,29,696,1,7.368214,native:/api/generate,1219
llama3.2,1135,Education,150393,30,720,1,6.711569,native:/api/generate,1080
llama3.2,1135,Education,150393,31,744,2,9.556776,native:/api/generate,1511
llama3.2,113,Education,100481,1,24,1,11.619534,native:/api/generate,2391
llama3.2,113,Education,100481,2,48,3,10.691222,native:/api/generate,2060
llama3.2,113,Education,100481,3,72,1,5.844546,native:/api/generate,1004
llama3.2,113,Education,100481,4,96,1,5.899358,native:/api/generate,1068
llama3.2,113,Education,100481,5,120,1,5.980705,native:/api/generate,1052
llama3.2,113,Education,100481,6,144,1,6.9875,native:/api/generate,1172
llama3.2,113,Education,100481,7,168,2,6.157043,native:/api/generate,1030
llama3.2,113,Education,100481,8,192,1,9.456472,native:/api/generate,1558
llama3.2,113,Education,100481,9,216,2,9.482247,native:/api/generate,1687
llama3.2,113,Education,100481,10,240,1,4.737135,native:/api/generate,782
llama3.2,113,Education,100481,11,264,4,10.465071,native:/api/generate,1899
llama3.2,113,Education,100481,12,288,1,6.284622,native:/api/generate,1202
llama3.2,113,Education,100481,13,312,3,10.770283,native:/api/generate,2010
llama3.2,113,Education,100481,14,336,1,8.253067,native:/api/generate,1331
llama3.2,113,Education,100481,15,360,3,9.07636,native:/api/generate,1632
llama3.2,113,Education,100481,16,384,1,6.810627,native:/api/generate,1056
llama3.2,113,Education,100481,17,408,3,6.100996,native:/api/generate,990
llama3.2,113,Education,100481,18,432,1,10.653488,native:/api/generate,1836
llama3.2,113,Education,100481,19,456,3,13.869489,native:/api/generate,2416
llama3.2,113,Education,100481,20,480,2,6.586721,native:/api/generate,1185
llama3.2,113,Education,100481,21,504,3,11.459282,native:/api/generate,2189
llama3.2,113,Education,100481,22,528,1,8.510011,native:/api/generate,1449
llama3.2,113,Education,100481,23,552,1,13.142673,native:/api/generate,2051
llama3.2,113,Education,100481,24,576,1,7.749108,native:/api/generate,1154
llama3.2,113,Education,100481,25,600,10,7.840394,native:/api/generate,1284
llama3.2,113,Education,100481,26,624,1,9.236569,native:/api/generate,1653
llama3.2,113,Education,100481,27,648,1,8.048063,native:/api/generate,1342
llama3.2,113,Education,100481,28,672,2,5.82316,native:/api/generate,1009
llama3.2,113,Education,100481,29,696,1,7.598759,native:/api/generate,1310
llama3.2,113,Education,100481,30,720,4,4.028133,native:/api/generate,656
llama3.2,113,Education,100481,31,744,1,7.344864,native:/api/generate,1121
llama3.2,272,Education,4583,1,24,6,8.278584,native:/api/generate,1393
llama3.2,272,Education,4583,2,48,192,66.334725,native:/api/generate,5181
llama3.2,272,Education,4583,3,72,4,9.294,native:/api/generate,1389
llama3.2,272,Education,4583,4,96,1,11.027664,native:/api/generate,1959
llama3.2,272,Education,4583,5,120,1,8.796303,native:/api/generate,1489
llama3.2,272,Education,4583,6,144,4,8.941328,native:/api/generate,1475
llama3.2,272,Education,4583,7,168,1,7.293744,native:/api/generate,1211
llama3.2,272,Education,4583,8,192,2,9.829322,native:/api/generate,1574
llama3.2,272,Education,4583,9,216,3,11.379854,native:/api/generate,1823
llama3.2,272,Education,4583,10,240,1,8.399514,native:/api/generate,1571
llama3.2,272,Education,4583,11,264,1,10.507457,native:/api/generate,1794
llama3.2,272,Education,4583,12,288,3,7.098512,native:/api/generate,1098
llama3.2,272,Education,4583,13,312,1,11.034055,native:/api/generate,2193
llama3.2,272,Education,4583,14,336,1,15.978237,native:/api/generate,2879
llama3.2,272,Education,4583,15,360,1,10.602287,native:/api/generate,1923
llama3.2,272,Education,4583,16,384,1,7.623705,native:/api/generate,1340
llama3.2,272,Education,4583,17,408,2,16.041184,native:/api/generate,2383
llama3.2,272,Education,4583,18,432,12,26.324413,native:/api/generate,4640
llama3.2,272,Education,4583,19,456,1,10.425484,native:/api/generate,1635
llama3.2,272,Education,4583,20,480,2,10.391597,native:/api/generate,1697
llama3.2,272,Education,4583,21,504,2,9.178055,native:/api/generate,1533
