timestamp,meter_reading_actual,meter_reading_llm
2016-01-01 00:00:00,15.84,11.2
2016-01-01 01:00:00,15.94,10.8
2016-01-01 02:00:00,16.23,9.5
2016-01-01 03:00:00,16.45,9.0
2016-01-01 04:00:00,17.01,9.2
2016-01-01 05:00:00,15.95,10.1
2016-01-01 06:00:00,18.33,11.5
2016-01-01 07:00:00,18.27,12.0
2016-01-01 08:00:00,17.98,13.3
2016-01-01 09:00:00,16.7,14.1
2016-01-01 10:00:00,17.15,13.8
2016-01-01 11:00:00,16.14,13.0
2016-01-01 12:00:00,14.79,12.6
2016-01-01 13:00:00,14.31,12.8
2016-01-01 14:00:00,13.72,12.0
2016-01-01 15:00:00,13.36,11.5
2016-01-01 16:00:00,13.29,11.0
2016-01-01 17:00:00,12.57,10.5
2016-01-01 18:00:00,13.45,9.8
2016-01-01 19:00:00,13.58,9.6
2016-01-01 20:00:00,13.82,9.9
2016-01-01 21:00:00,13.76,10.4
2016-01-01 22:00:00,14.51,11.0
2016-01-01 23:00:00,13.92,11.4
2016-01-02 00:00:00,14.46,12.5
2016-01-02 01:00:00,14.66,12.0
2016-01-02 02:00:00,14.9,11.8
2016-01-02 03:00:00,15.51,11.5
2016-01-02 04:00:00,15.49,11.0
2016-01-02 05:00:00,15.67,10.8
2016-01-02 06:00:00,16.23,11.2
2016-01-02 07:00:00,15.78,12.0
2016-01-02 08:00:00,16.1,12.7
2016-01-02 09:00:00,15.38,13.5
2016-01-02 10:00:00,15.13,13.0
2016-01-02 11:00:00,14.36,12.8
2016-01-02 12:00:00,14.81,12.4
2016-01-02 13:00:00,15.08,12.3
2016-01-02 14:00:00,14.53,12.1
2016-01-02 15:00:00,14.14,11.9
2016-01-02 16:00:00,14.88,11.7
2016-01-02 17:00:00,15.62,11.5
2016-01-02 18:00:00,15.61,11.3
2016-01-02 19:00:00,14.1,11.2
2016-01-02 20:00:00,13.05,11.4
2016-01-02 21:00:00,13.27,11.6
2016-01-02 22:00:00,13.81,12.0
2016-01-02 23:00:00,13.72,12.2
2016-01-03 00:00:00,13.73,10.0
2016-01-03 01:00:00,13.79,9.5
2016-01-03 02:00:00,14.34,9.0
2016-01-03 03:00:00,13.87,8.5
2016-01-03 04:00:00,14.26,8.8
2016-01-03 05:00:00,14.64,9.0
2016-01-03 06:00:00,14.66,9.2
2016-01-03 07:00:00,14.89,9.6
2016-01-03 08:00:00,14.82,10.0
2016-01-03 09:00:00,14.47,10.3
2016-01-03 10:00:00,13.61,10.5
2016-01-03 11:00:00,13.84,10.6
2016-01-03 12:00:00,13.44,10.4
2016-01-03 13:00:00,12.93,10.3
2016-01-03 14:00:00,12.52,10.1
2016-01-03 15:00:00,12.26,9.9
2016-01-03 16:00:00,12.16,9.7
2016-01-03 17:00:00,12.18,9.5
2016-01-03 18:00:00,12.5,9.3
2016-01-03 19:00:00,13.14,9.2
2016-01-03 20:00:00,13.06,9.4
2016-01-03 21:00:00,13.14,9.6
2016-01-03 22:00:00,13.07,9.8
2016-01-03 23:00:00,13.05,10.0
2016-01-04 00:00:00,13.62,13.5
2016-01-04 01:00:00,13.17,13.0
2016-01-04 02:00:00,13.72,12.8
2016-01-04 03:00:00,13.71,12.5
2016-01-04 04:00:00,13.42,12.0
2016-01-04 05:00:00,13.53,12.2
2016-01-04 06:00:00,13.57,12.6
2016-01-04 07:00:00,13.47,13.0
2016-01-04 08:00:00,13.4,13.4
2016-01-04 09:00:00,14.91,14.0
2016-01-04 10:00:00,15.86,13.8
2016-01-04 11:00:00,16.81,13.5
2016-01-04 12:00:00,16.78,13.3
2016-01-04 13:00:00,16.93,13.0
2016-01-04 14:00:00,16.64,12.8
2016-01-04 15:00:00,17.19,12.6
2016-01-04 16:00:00,16.56,12.4
2016-01-04 17:00:00,16.8,12.2
2016-01-04 18:00:00,16.8,12.0
2016-01-04 19:00:00,16.17,12.1
2016-01-04 20:00:00,14.0,12.3
2016-01-04 21:00:00,12.99,12.6
2016-01-04 22:00:00,13.8,13.0
2016-01-04 23:00:00,13.74,13.4
2016-01-05 00:00:00,13.79,11.0
2016-01-05 01:00:00,14.28,10.8
2016-01-05 02:00:00,13.84,10.6
2016-01-05 03:00:00,13.77,10.4
2016-01-05 04:00:00,13.88,10.2
2016-01-05 05:00:00,13.71,10.5
2016-01-05 06:00:00,13.81,11.0
2016-01-05 07:00:00,13.94,11.3
2016-01-05 08:00:00,13.98,11.8
2016-01-05 09:00:00,13.82,12.2
2016-01-05 10:00:00,16.7,12.0
2016-01-05 11:00:00,16.51,11.9
2016-01-05 12:00:00,16.58,11.6
2016-01-05 13:00:00,16.68,11.4
2016-01-05 14:00:00,19.45,11.2
2016-01-05 15:00:00,19.88,11.0
2016-01-05 16:00:00,19.73,10.8
2016-01-05 17:00:00,19.07,10.6
2016-01-05 18:00:00,19.11,10.4
2016-01-05 19:00:00,18.73,10.3
2016-01-05 20:00:00,20.07,10.5
2016-01-05 21:00:00,19.8,10.8
2016-01-05 22:00:00,17.33,11.0
2016-01-05 23:00:00,15.27,11.2
2016-01-06 00:00:00,15.46,9.0
2016-01-06 01:00:00,15.54,8.8
2016-01-06 02:00:00,14.88,8.5
2016-01-06 03:00:00,15.68,8.3
2016-01-06 04:00:00,15.23,8.2
2016-01-06 05:00:00,15.95,8.5
2016-01-06 06:00:00,15.95,8.8
2016-01-06 07:00:00,15.82,9.0
2016-01-06 08:00:00,16.56,9.3
2016-01-06 09:00:00,15.73,9.5
2016-01-06 10:00:00,17.73,9.6
2016-01-06 11:00:00,19.93,9.5
2016-01-06 12:00:00,18.91,9.4
2016-01-06 13:00:00,18.88,9.2
2016-01-06 14:00:00,26.07,9.0
2016-01-06 15:00:00,23.71,8.8
2016-01-06 16:00:00,17.16,8.7
2016-01-06 17:00:00,16.85,8.5
2016-01-06 18:00:00,18.02,8.4
2016-01-06 19:00:00,17.96,8.3
2016-01-06 20:00:00,18.57,8.5
2016-01-06 21:00:00,15.92,8.7
2016-01-06 22:00:00,14.86,8.9
2016-01-06 23:00:00,15.31,9.0
2016-01-07 00:00:00,15.32,14.0
2016-01-07 01:00:00,15.88,13.8
2016-01-07 02:00:00,15.28,13.5
2016-01-07 03:00:00,15.55,13.2
2016-01-07 04:00:00,15.68,13.0
2016-01-07 05:00:00,15.53,13.1
2016-01-07 06:00:00,15.76,13.3
2016-01-07 07:00:00,15.63,13.6
2016-01-07 08:00:00,15.94,14.0
2016-01-07 09:00:00,16.84,14.5
2016-01-07 10:00:00,17.72,14.3
2016-01-07 11:00:00,19.02,14.0
2016-01-07 12:00:00,18.55,13.8
2016-01-07 13:00:00,18.81,13.5
2016-01-07 14:00:00,18.68,13.2
2016-01-07 15:00:00,20.52,13.0
2016-01-07 16:00:00,29.92,12.9
2016-01-07 17:00:00,19.91,13.1
2016-01-07 18:00:00,16.69,13.3
2016-01-07 19:00:00,20.37,13.6
2016-01-07 20:00:00,22.16,14.0
2016-01-07 21:00:00,21.12,14.3
2016-01-07 22:00:00,21.38,14.5
2016-01-07 23:00:00,20.86,14.7
