Here is the sensor data you requested:

01/01/16,0.00,kWh
01/02/16,0.10,kWh
01/03/16,0.20,kWh
01/04/16,0.30,kWh
01/05/16,0.40,kWh
01/06/16,0.50,kWh
01/07/16,0.60,kWh
01/08/16,0.70,kWh
01/09/16,0.80,kWh
01/10/16,1.00,kWh
01/11/16,1.10,kWh
01/12/16,1.20,kWh
01/13/16,1.30,kWh
01/14/16,1.40,kWh
01/15/16,1.50,kWh
01/16/16,1.60,kWh
01/17/16,1.70,kWh
01/18/16,1.80,kWh
01/19/16,1.90,kWh
01/20/16,2.00,kWh
01/21/16,2.10,kWh
01/22/16,2.20,kWh
01/23/16,2.30,kWh
01/24/16,2.40,kWh
01/25/16,2.50,kWh
01/26/16,2.60,kWh
01/27/16,2.70,kWh
01/28/16,2.80,kWh
01/29/16,2.90,kWh
01/30/16,3.00,kWh
01/31/16,3.10,kWh
02/01/16,3.20,kWh
02/02/16,3.30,kWh
02/03/16,3.40,kWh
02/04/16,3.50,kWh
02/05/16,3.60,kWh
02/06/16,3.70,kWh
02/07/16,3.80,kWh
02/08/16,3.90,kWh
02/09/16,4.00,kWh
02/10/16,4.10,kWh
02/11/16,4.20,kWh
02/12/16,4.30,kWh
02/13/16,4.40,kWh
02/14/16,4.50,kWh
02/15/16,4.60,kWh
02/16/16,4.70,kWh
02/17/16,4.80,kWh
02/18/16,4.90,kWh
02/19/16,5.00,kWh
02/20/16,5.10,kWh
02/21/16,5.20,kWh
02/22/16,5.30,kWh
02/23/16,5.40,kWh
02/24/16,5.50,kWh
02/25/16,5.60,kWh
02/26/16,5.70,kWh
02/27/16,5.80,kWh
02/28/16,5.90,kWh
03/01/16,6.00,kWh
03/02/16,6.10,kWh
03/03/16,6.20,kWh
03/04/16,6.30,kWh
03/05/16,6.40,kWh
03/06/16,6.50,kWh
03/07/16,6.60,kWh
03/08/16,6.70,kWh
03/09/16,6.80,kWh
03/10/16,6.90,kWh
03/11/16,7.00,kWh
03/12/16,7.10,kWh
03/13/16,7.20,kWh
03/14/16,7.30,kWh
03/15/16,7.40,kWh
03/16/16,7.50,kWh
03/17/16,7.60,kWh
03/18/16,7.70,kWh
03/19/16,7.80,kWh
03/20/16,7.90,kWh
03/21/16,8.00,kWh
03/22/16,8.10,kWh
03/23/16,8.20,kWh
03/24/16,8.30,kWh
03/25/16,8.40,kWh
03/26/16,8.50,kWh
03/27/16,8.60,kWh
03/28/16,8.70,kWh
03/29/16,8.80,kWh
03/30/16,8.90,kWh
04/01/16,9.00,kWh
04/02/16,9.10,kWh
04/03/16,9.20,kWh
04/04/16,9.30,kWh
04/05/16,9.40,kWh
04/06/16,9.50,kWh
04/07/16,9.60,kWh
04/08/16,9.70,kWh
04/09/16,9.80,kWh
04/10/16,9.90,kWh
04/11/16,10.00,kWh
04/12/16,10.10,kWh
04/13/16,10.20,kWh
04/14/16,10.30,kWh
04/15/16,10.40,kWh
04/16/16,10.50,kWh
04/17/16,10.60,kWh
04/18/16,10.70,kWh
04/19/16,10.80,kWh
04/20/16,10.90,kWh
04/21/16,11.00,kWh
04/22/16,11.10,kWh
04/23/16,11.20,kWh
04/24/16,11.30,kWh
04/25/16,11.40,kWh
04/26/16,11.50,kWh
04/27/16,11.60,kWh
04/28/16,11.70,kWh
04/29/16,11.80,kWh
04/30/16,11.90,kWh
