timestamp,year,month,day,week_bucket,season,period,value,quality_flag
2016-01-01T00:00,2016,1,1,1,winter,night,282.97,normal
2016-01-01T01:00,2016,1,1,1,winter,night,282.99,normal
2016-01-01T02:00,2016,1,1,1,winter,night,283.09,normal
2016-01-01T03:00,2016,1,1,1,winter,night,283.01,normal
2016-01-01T04:00,2016,1,1,1,winter,night,282.86,normal
2016-01-01T05:00,2016,1,1,1,winter,night,283.07,normal
2016-01-01T06:00,2016,1,1,1,winter,day,283.01,normal
2016-01-01T07:00,2016,1,1,1,winter,day,283.03,normal
2016-01-01T08:00,2016,1,1,1,winter,day,283.09,normal
2016-01-01T09:00,2016,1,1,1,winter,day,283.11,normal
2016-01-01T10:00,2016,1,1,1,winter,day,283.22,normal
2016-01-01T11:00,2016,1,1,1,winter,day,283.16,normal
2016-01-01T12:00,2016,1,1,1,winter,day,283.09,normal
2016-01-01T13:00,2016,1,1,1,winter,day,282.98,normal
2016-01-01T14:00,2016,1,1,1,winter,day,282.93,normal
2016-01-01T15:00,2016,1,1,1,winter,day,283.05,normal
2016-01-01T16:00,2016,1,1,1,winter,day,283.14,normal
2016-01-01T17:00,2016,1,1,1,winter,day,282.97,normal
2016-01-01T18:00,2016,1,1,1,winter,night,282.93,normal
2016-01-01T19:00,2016,1,1,1,winter,night,283.0,normal
2016-01-01T20:00,2016,1,1,1,winter,night,282.79,normal
2016-01-01T21:00,2016,1,1,1,winter,night,282.92,normal
2016-01-01T22:00,2016,1,1,1,winter,night,283.02,normal
2016-01-01T23:00,2016,1,1,1,winter,night,283.07,normal
2016-01-02T00:00,2016,1,2,1,winter,night,283.25,normal
2016-01-02T01:00,2016,1,2,1,winter,night,283.24,normal
2016-01-02T02:00,2016,1,2,1,winter,night,283.33,normal
2016-01-02T03:00,2016,1,2,1,winter,night,283.07,normal
2016-01-02T04:00,2016,1,2,1,winter,night,283.32,normal
2016-01-02T05:00,2016,1,2,1,winter,night,283.03,normal
2016-01-02T06:00,2016,1,2,1,winter,day,282.87,normal
2016-01-02T07:00,2016,1,2,1,winter,day,283.17,normal
2016-01-02T08:00,2016,1,2,1,winter,day,283.14,normal
2016-01-02T09:00,2016,1,2,1,winter,day,283.4,normal
2016-01-02T10:00,2016,1,2,1,winter,day,283.37,normal
2016-01-02T11:00,2016,1,2,1,winter,day,283.09,normal
2016-01-02T12:00,2016,1,2,1,winter,day,283.39,normal
2016-01-02T13:00,2016,1,2,1,winter,day,283.1,normal
2016-01-02T14:00,2016,1,2,1,winter,day,283.22,normal
2016-01-02T15:00,2016,1,2,1,winter,day,283.17,normal
2016-01-02T16:00,2016,1,2,1,winter,day,283.2,normal
2016-01-02T17:00,2016,1,2,1,winter,day,283.29,normal
2016-01-02T18:00,2016,1,2,1,winter,night,283.24,normal
2016-01-02T19:00,2016,1,2,1,winter,night,283.2,normal
2016-01-02T20:00,2016,1,2,1,winter,night,283.25,normal
2016-01-02T21:00,2016,1,2,1,winter,night,283.23,normal
2016-01-02T22:00,2016,1,2,1,winter,night,283.08,normal
2016-01-02T23:00,2016,1,2,1,winter,night,283.08,normal
2016-01-03T00:00,2016,1,3,1,winter,night,283.22,normal
2016-01-03T01:00,2016,1,3,1,winter,night,283.1,normal
2016-01-03T02:00,2016,1,3,1,winter,night,283.55,normal
2016-01-03T03:00,2016,1,3,1,winter,night,283.03,normal
2016-01-03T04:00,2016,1,3,1,winter,night,282.99,normal
2016-01-03T05:00,2016,1,3,1,winter,night,283.31,normal
2016-01-03T06:00,2016,1,3,1,winter,day,283.42,normal
2016-01-03T07:00,2016,1,3,1,winter,day,283.27,normal
2016-01-03T08:00,2016,1,3,1,winter,day,283.33,normal
2016-01-03T09:00,2016,1,3,1,winter,day,283.43,normal
2016-01-03T10:00,2016,1,3,1,winter,day,283.17,normal
2016-01-03T11:00,2016,1,3,1,winter,day,282.93,normal
2016-01-03T12:00,2016,1,3,1,winter,day,283.07,normal
2016-01-03T13:00,2016,1,3,1,winter,day,283.3,normal
2016-01-03T14:00,2016,1,3,1,winter,day,282.89,normal
2016-01-03T15:00,2016,1,3,1,winter,day,283.12,normal
2016-01-03T16:00,2016,1,3,1,winter,day,283.14,normal
2016-01-03T17:00,2016,1,3,1,winter,day,283.04,normal
2016-01-03T18:00,2016,1,3,1,winter,night,283.2,normal
2016-01-03T19:00,2016,1,3,1,winter,night,283.18,normal
2016-01-03T20:00,2016,1,3,1,winter,night,283.48,normal
2016-01-03T21:00,2016,1,3,1,winter,night,283.2,normal
2016-01-03T22:00,2016,1,3,1,winter,night,283.01,normal
2016-01-03T23:00,2016,1,3,1,winter,night,283.03,normal
2016-01-04T00:00,2016,1,4,1,winter,night,283.31,normal
2016-01-04T01:00,2016,1,4,1,winter,night,283.16,normal
2016-01-04T02:00,2016,1,4,1,winter,night,283.23,normal
2016-01-04T03:00,2016,1,4,1,winter,night,283.32,normal
2016-01-04T04:00,2016,1,4,1,winter,night,283.17,normal
2016-01-04T05:00,2016,1,4,1,winter,night,283.22,normal
2016-01-04T06:00,2016,1,4,1,winter,day,283.06,normal
2016-01-04T07:00,2016,1,4,1,winter,day,283.16,normal
2016-01-04T08:00,2016,1,4,1,winter,day,283.23,normal
2016-01-04T09:00,2016,1,4,1,winter,day,283.34,normal
2016-01-04T10:00,2016,1,4,1,winter,day,283.43,normal
2016-01-04T11:00,2016,1,4,1,winter,day,283.3,normal
2016-01-04T12:00,2016,1,4,1,winter,day,283.32,normal
2016-01-04T13:00,2016,1,4,1,winter,day,283.3,normal
2016-01-04T14:00,2016,1,4,1,winter,day,283.38,normal
2016-01-04T15:00,2016,1,4,1,winter,day,283.34,normal
2016-01-04T16:00,2016,1,4,1,winter,day,283.25,normal
2016-01-04T17:00,2016,1,4,1,winter,day,283.09,normal
2016-01-04T18:00,2016,1,4,1,winter,night,283.27,normal
2016-01-04T19:00,2016,1,4,1,winter,night,283.21,normal
2016-01-04T20:00,2016,1,4,1,winter,night,283.31,normal
2016-01-04T21:00,2016,1,4,1,winter,night,283.18,normal
2016-01-04T22:00,2016,1,4,1,winter,night,283.4,normal
2016-01-04T23:00,2016,1,4,1,winter,night,283.16,normal
2016-01-05T00:00,2016,1,5,1,winter,night,283.25,normal
2016-01-05T01:00,2016,1,5,1,winter,night,283.2,normal
2016-01-05T02:00,2016,1,5,1,winter,night,283.16,normal
2016-01-05T03:00,2016,1,5,1,winter,night,283.25,normal
2016-01-05T04:00,2016,1,5,1,winter,night,283.4,normal
2016-01-05T05:00,2016,1,5,1,winter,night,283.35,normal
2016-01-05T06:00,2016,1,5,1,winter,day,283.34,normal
2016-01-05T07:00,2016,1,5,1,winter,day,283.07,normal
2016-01-05T08:00,2016,1,5,1,winter,day,283.34,normal
2016-01-05T09:00,2016,1,5,1,winter,day,283.32,normal
2016-01-05T10:00,2016,1,5,1,winter,day,283.22,normal
2016-01-05T11:00,2016,1,5,1,winter,day,283.21,normal
2016-01-05T12:00,2016,1,5,1,winter,day,283.25,normal
2016-01-05T13:00,2016,1,5,1,winter,day,283.4,normal
2016-01-05T14:00,2016,1,5,1,winter,day,283.14,normal
2016-01-05T15:00,2016,1,5,1,winter,day,283.18,normal
2016-01-05T16:00,2016,1,5,1,winter,day,283.34,normal
2016-01-05T17:00,2016,1,5,1,winter,day,283.17,normal
2016-01-05T18:00,2016,1,5,1,winter,night,283.17,normal
2016-01-05T19:00,2016,1,5,1,winter,night,283.21,normal
2016-01-05T20:00,2016,1,5,1,winter,night,283.1,normal
2016-01-05T21:00,2016,1,5,1,winter,night,283.23,normal
2016-01-05T22:00,2016,1,5,1,winter,night,283.11,normal
2016-01-05T23:00,2016,1,5,1,winter,night,283.31,normal
2016-01-06T00:00,2016,1,6,1,winter,night,283.72,normal
2016-01-06T01:00,2016,1,6,1,winter,night,283.36,normal
2016-01-06T02:00,2016,1,6,1,winter,night,283.57,normal
2016-01-06T03:00,2016,1,6,1,winter,night,283.09,normal
2016-01-06T04:00,2016,1,6,1,winter,night,283.32,normal
2016-01-06T05:00,2016,1,6,1,winter,night,283.4,normal
2016-01-06T06:00,2016,1,6,1,winter,day,283.66,normal
2016-01-06T07:00,2016,1,6,1,winter,day,283.04,normal
2016-01-06T08:00,2016,1,6,1,winter,day,283.52,normal
2016-01-06T09:00,2016,1,6,1,winter,day,283.45,normal
2016-01-06T10:00,2016,1,6,1,winter,day,283.6,normal
2016-01-06T11:00,2016,1,6,1,winter,day,283.45,normal
2016-01-06T12:00,2016,1,6,1,winter,day,283.32,normal
2016-01-06T13:00,2016,1,6,1,winter,day,283.21,normal
2016-01-06T14:00,2016,1,6,1,winter,day,283.07,normal
2016-01-06T15:00,2016,1,6,1,winter,day,283.31,normal
2016-01-06T16:00,2016,1,6,1,winter,day,283.23,normal
2016-01-06T17:00,2016,1,6,1,winter,day,283.62,normal
2016-01-06T18:00,2016,1,6,1,winter,night,283.14,normal
2016-01-06T19:00,2016,1,6,1,winter,night,283.31,normal
2016-01-06T20:00,2016,1,6,1,winter,night,282.97,normal
2016-01-06T21:00,2016,1,6,1,winter,night,283.19,normal
2016-01-06T22:00,2016,1,6,1,winter,night,283.32,normal
