timestamp,meter_reading_actual,meter_reading_llm
2016-01-01 00:00:00,173.172,248.9345
2016-01-01 01:00:00,173.172,251.1123
2016-01-01 02:00:00,171.577,250.0458
2016-01-01 03:00:00,172.85,249.7891
2016-01-01 04:00:00,175.191,252.3679
2016-01-01 05:00:00,172.543,251.8764
2016-01-01 06:00:00,171.72,250.9997
2016-01-01 07:00:00,173.269,252.1234
2016-01-01 08:00:00,177.858,249.4567
2016-01-01 09:00:00,176.259,251.2345
2016-01-01 10:00:00,175.26,250.5678
2016-01-01 11:00:00,177.269,252.8901
2016-01-01 12:00:00,178.741,250.1234
2016-01-01 13:00:00,177.845,251.6543
2016-01-01 14:00:00,177.952,250.9876
2016-01-01 15:00:00,179.213,249.8765
2016-01-01 16:00:00,180.52,252.3456
2016-01-01 17:00:00,175.755,250.4321
2016-01-01 18:00:00,176.269,251.2345
2016-01-01 19:00:00,175.746,250.789
2016-01-01 20:00:00,176.742,252.5678
2016-01-01 21:00:00,172.53,251.3456
2016-01-01 22:00:00,173.393,250.6789
2016-01-01 23:00:00,172.847,251.1234
