timestamp,year,month,day,week_bucket,season,period,value,quality_flag
2016-01-01T00:00,2016,1,1,1,winter,night,381.99,normal
2016-01-01T01:00,2016,1,1,1,winter,night,382.04,normal
2016-01-01T02:00,2016,1,1,1,winter,night,382.36,normal
2016-01-01T03:00,2016,1,1,1,winter,night,382.08,normal
2016-01-01T04:00,2016,1,1,1,winter,night,381.61,normal
2016-01-01T05:00,2016,1,1,1,winter,night,382.27,normal
2016-01-01T06:00,2016,1,1,1,winter,day,382.06,normal
2016-01-01T07:00,2016,1,1,1,winter,day,382.08,normal
2016-01-01T08:00,2016,1,1,1,winter,day,382.18,normal
2016-01-01T09:00,2016,1,1,1,winter,day,382.2,normal
2016-01-01T10:00,2016,1,1,1,winter,day,382.48,normal
2016-01-01T11:00,2016,1,1,1,winter,day,382.29,normal
2016-01-01T12:00,2016,1,1,1,winter,day,382.09,normal
2016-01-01T13:00,2016,1,1,1,winter,day,381.8,normal
2016-01-01T14:00,2016,1,1,1,winter,day,381.68,normal
2016-01-01T15:00,2016,1,1,1,winter,day,382.06,normal
2016-01-01T16:00,2016,1,1,1,winter,day,382.4,normal
2016-01-01T17:00,2016,1,1,1,winter,day,381.97,normal
2016-01-01T18:00,2016,1,1,1,winter,night,381.91,normal
2016-01-01T19:00,2016,1,1,1,winter,night,382.14,normal
2016-01-01T20:00,2016,1,1,1,winter,night,381.45,normal
2016-01-01T21:00,2016,1,1,1,winter,night,381.87,normal
2016-01-01T22:00,2016,1,1,1,winter,night,382.18,normal
2016-01-01T23:00,2016,1,1,1,winter,night,382.34,normal
2016-01-02T00:00,2016,1,2,1,winter,night,382.1,normal
2016-01-02T01:00,2016,1,2,1,winter,night,382.09,normal
2016-01-02T02:00,2016,1,2,1,winter,night,382.21,normal
2016-01-02T03:00,2016,1,2,1,winter,night,381.83,normal
2016-01-02T04:00,2016,1,2,1,winter,night,382.18,normal
2016-01-02T05:00,2016,1,2,1,winter,night,381.76,normal
2016-01-02T06:00,2016,1,2,1,winter,day,381.54,normal
2016-01-02T07:00,2016,1,2,1,winter,day,381.95,normal
2016-01-02T08:00,2016,1,2,1,winter,day,381.88,normal
2016-01-02T09:00,2016,1,2,1,winter,day,382.23,normal
2016-01-02T10:00,2016,1,2,1,winter,day,382.18,normal
2016-01-02T11:00,2016,1,2,1,winter,day,381.8,normal
2016-01-02T12:00,2016,1,2,1,winter,day,382.19,normal
2016-01-02T13:00,2016,1,2,1,winter,day,381.81,normal
