2016-01-01,00:00,500.00
2016-01-01,01:00,210.23
2016-01-01,02:00,240.2
2016-01-01,03:00,287.87
2016-01-01,04:00,350.0
2016-01-01,05:00,422.36
2016-01-01,06:00,500.00
2016-01-01,07:00,577.64
2016-01-01,08:00,650.00
2016-01-01,09:00,712.13
2016-01-01,10:00,759.8
2016-01-01,11:00,789.77
2016-01-01,12:00,800.00
2016-01-01,13:00,789.77
2016-01-01,14:00,759.8
2016-01-01,15:00,712.13
2016-01-01,16:00,650.00
2016-01-01,17:00,577.64
2016-01-01,18:00,500.00
2016-01-01,19:00,422.36
2016-01-01,20:00,350.00
2016-01-01,21:00,287.87
2016-01-01,22:00,240.2
2016-01-01,23:00,210.23
