timestamp,year,month,day,week_bucket,season,period,value
2021-01-01T00:00,2021,1,1,1,winter,night,19.13909
2021-01-01T00:30,2021,1,1,1,winter,night,19.16623
2021-01-01T01:00,2021,1,1,1,winter,night,19.38111
2021-01-01T01:30,2021,1,1,1,winter,night,19.18486
2021-01-01T02:00,2021,1,1,1,winter,night,18.85298
2021-01-01T02:30,2021,1,1,1,winter,night,19.32018
2021-01-01T03:00,2021,1,1,1,winter,night,19.17912
2021-01-01T03:30,2021,1,1,1,winter,night,19.19948
2021-01-01T04:00,2021,1,1,1,winter,night,19.28923
2021-01-01T04:30,2021,1,1,1,winter,night,19.32354
2021-01-01T05:00,2021,1,1,1,winter,night,19.56014
2021-01-01T05:30,2021,1,1,1,winter,night,19.43570
2021-01-01T06:00,2021,1,1,1,winter,day,19.29994
2021-01-01T06:30,2021,1,1,1,winter,day,19.17181
2021-01-01T07:00,2021,1,1,1,winter,day,19.18382
2021-01-01T07:30,2021,1,1,1,winter,day,19.57579
2021-01-01T08:00,2021,1,1,1,winter,day,19.91303
2021-01-01T08:30,2021,1,1,1,winter,day,19.65983
2021-01-01T09:00,2021,1,1,1,winter,day,19.67899
2021-01-01T09:30,2021,1,1,1,winter,day,19.88573
2021-01-01T10:00,2021,1,1,1,winter,day,19.42685
2021-01-01T10:30,2021,1,1,1,winter,day,19.73921
2021-01-01T11:00,2021,1,1,1,winter,day,19.95605
2021-01-01T11:30,2021,1,1,1,winter,day,20.05685
2021-01-01T12:00,2021,1,1,1,winter,day,19.77216
2021-01-01T12:30,2021,1,1,1,winter,day,19.90916
2021-01-01T13:00,2021,1,1,1,winter,day,19.84893
2021-01-01T13:30,2021,1,1,1,winter,day,19.94398
2021-01-01T14:00,2021,1,1,1,winter,day,19.42193
2021-01-01T14:30,2021,1,1,1,winter,day,19.78527
2021-01-01T15:00,2021,1,1,1,winter,day,19.19967
2021-01-01T15:30,2021,1,1,1,winter,day,18.85162
2021-01-01T16:00,2021,1,1,1,winter,day,19.27765
2021-01-01T16:30,2021,1,1,1,winter,day,19.11896
2021-01-01T17:00,2021,1,1,1,winter,day,19.48262
2021-01-01T17:30,2021,1,1,1,winter,day,19.34399
2021-01-01T18:00,2021,1,1,1,winter,night,18.78755
2021-01-01T18:30,2021,1,1,1,winter,night,19.30493
2021-01-01T19:00,2021,1,1,1,winter,night,18.84483
2021-01-01T19:30,2021,1,1,1,winter,night,19.07761
2021-01-01T20:00,2021,1,1,1,winter,night,19.03090
2021-01-01T20:30,2021,1,1,1,winter,night,19.13952
2021-01-01T21:00,2021,1,1,1,winter,night,19.32333
2021-01-01T21:30,2021,1,1,1,winter,night,19.28713
2021-01-01T22:00,2021,1,1,1,winter,night,19.22479
2021-01-01T22:30,2021,1,1,1,winter,night,19.31036
2021-01-01T23:00,2021,1,1,1,winter,night,19.27864
2021-01-01T23:30,2021,1,1,1,winter,night,19.01382
2021-01-02T00:00,2021,1,2,1,winter,night,18.96211
2021-01-02T00:30,2021,1,2,1,winter,night,19.14387
2021-01-02T01:00,2021,1,2,1,winter,night,19.02465
2021-01-02T01:30,2021,1,2,1,winter,night,19.48870
2021-01-02T02:00,2021,1,2,1,winter,night,18.94747
2021-01-02T02:30,2021,1,2,1,winter,night,18.90866
2021-01-02T03:00,2021,1,2,1,winter,night,19.24459
2021-01-02T03:30,2021,1,2,1,winter,night,19.36696
2021-01-02T04:00,2021,1,2,1,winter,night,19.21339
